category,uid,historical_class,pre_residual_current_class,post_residual_current_class,post_residual_best_fg_ratio,post_residual_best_bbox_area_ratio,post_residual_best_max_dim,post_residual_view_classes,asset_dir,usd_path
plant,120ac6d4ab5f8fd044d9013d492a03be,suspicious,suspicious,suspicious,0.088310,0.113983,180,blank;ok;ok;tiny,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/120ac6d4ab5f8fd044d9013d492a03be,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/120ac6d4ab5f8fd044d9013d492a03be/usd/120ac6d4ab5f8fd044d9013d492a03be.usd
plant,2a3dc18d904961af9f4a0ae5317e018b,suspicious,suspicious,suspicious,0.066425,0.137131,249,ok;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/2a3dc18d904961af9f4a0ae5317e018b,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/2a3dc18d904961af9f4a0ae5317e018b/usd/2a3dc18d904961af9f4a0ae5317e018b.usd
plant,2d8924ba6a9206a9a0b4854e8884d1bc,suspicious,suspicious,suspicious,0.051956,0.119629,196,tiny;ok;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/2d8924ba6a9206a9a0b4854e8884d1bc,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/2d8924ba6a9206a9a0b4854e8884d1bc/usd/2d8924ba6a9206a9a0b4854e8884d1bc.usd
plant,319b686ab1093c1d5c50196650642403,blank,blank,blank,0.000000,0.000000,0,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/319b686ab1093c1d5c50196650642403,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/319b686ab1093c1d5c50196650642403/usd/319b686ab1093c1d5c50196650642403.usd
plant,334980fd8eecd2c120cd2963d73ea772,suspicious,suspicious,suspicious,0.069706,0.099335,210,ok;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/334980fd8eecd2c120cd2963d73ea772,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/334980fd8eecd2c120cd2963d73ea772/usd/334980fd8eecd2c120cd2963d73ea772.usd
plant,41d3faf42affbe1a4a010d67cdd90064,suspicious,suspicious,suspicious,0.071228,0.089451,191,ok;ok;blank;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/41d3faf42affbe1a4a010d67cdd90064,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/41d3faf42affbe1a4a010d67cdd90064/usd/41d3faf42affbe1a4a010d67cdd90064.usd
plant,4b29674acc0cd5421c93c3f6c1f5c094,suspicious,suspicious,suspicious,0.020710,0.096558,240,blank;ok;ok;ok,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/4b29674acc0cd5421c93c3f6c1f5c094,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/4b29674acc0cd5421c93c3f6c1f5c094/usd/4b29674acc0cd5421c93c3f6c1f5c094.usd
plant,53a411d1c2a79affa0e765eff2f880b5,blank,blank,blank,0.000324,0.000412,12,blank;blank;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/53a411d1c2a79affa0e765eff2f880b5,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/53a411d1c2a79affa0e765eff2f880b5/usd/53a411d1c2a79affa0e765eff2f880b5.usd
plant,729ab87799e46be9f7cc12c4d2ef440b,suspicious,suspicious,suspicious,0.124317,0.414963,490,ok;blank;ok;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/729ab87799e46be9f7cc12c4d2ef440b,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plant/729ab87799e46be9f7cc12c4d2ef440b/usd/729ab87799e46be9f7cc12c4d2ef440b.usd
plate,322a9eb10e0e859a07a296fc78ab3dd8,suspicious,suspicious,suspicious,0.107746,0.137466,252,ok;ok;blank;blank,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plate/322a9eb10e0e859a07a296fc78ab3dd8,/cpfs/user/zhuzihou/assets/dedup_workspaces/test0_transitive_apply_parallel/dataset/GRScenes_assets/plate/322a9eb10e0e859a07a296fc78ab3dd8/usd/322a9eb10e0e859a07a296fc78ab3dd8.usd
