label,category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,touches_edge,path
baseline84,cabinet,ee5e3b5379985e5884dca7d4bafcab0f,right,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/ee5e3b5379985e5884dca7d4bafcab0f/right.png
baseline84,cabinet,f307d93cd235772ea4688ee1f9d51778,front,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/f307d93cd235772ea4688ee1f9d51778/front.png
baseline84,cabinet,f307d93cd235772ea4688ee1f9d51778,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/f307d93cd235772ea4688ee1f9d51778/left.png
baseline84,cabinet,f307d93cd235772ea4688ee1f9d51778,back,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/f307d93cd235772ea4688ee1f9d51778/back.png
baseline84,cabinet,f307d93cd235772ea4688ee1f9d51778,right,tiny,0.005886,40,46,0.007019,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/f307d93cd235772ea4688ee1f9d51778/right.png
baseline84,cabinet,f471513f73ace7981707dea152802450,front,tiny,0.009483,42,79,0.012657,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/f471513f73ace7981707dea152802450/front.png
baseline84,cabinet,f471513f73ace7981707dea152802450,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/f471513f73ace7981707dea152802450/left.png
baseline84,cabinet,f471513f73ace7981707dea152802450,back,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/f471513f73ace7981707dea152802450/back.png
baseline84,cabinet,f471513f73ace7981707dea152802450,right,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/f471513f73ace7981707dea152802450/right.png
baseline84,cabinet,f54498f152adc7faea9a7bee1bb3c0a1,front,tiny,0.003765,34,33,0.004280,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/f54498f152adc7faea9a7bee1bb3c0a1/front.png
baseline84,cabinet,f54498f152adc7faea9a7bee1bb3c0a1,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/f54498f152adc7faea9a7bee1bb3c0a1/left.png
baseline84,cabinet,f54498f152adc7faea9a7bee1bb3c0a1,back,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/f54498f152adc7faea9a7bee1bb3c0a1/back.png
baseline84,cabinet,f54498f152adc7faea9a7bee1bb3c0a1,right,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/f54498f152adc7faea9a7bee1bb3c0a1/right.png
baseline84,cabinet,f607af751f597c1f78f663c648c662f9,front,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/f607af751f597c1f78f663c648c662f9/front.png
baseline84,cabinet,f607af751f597c1f78f663c648c662f9,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/f607af751f597c1f78f663c648c662f9/left.png
baseline84,cabinet,f607af751f597c1f78f663c648c662f9,back,tiny,0.009399,56,50,0.010681,True,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/f607af751f597c1f78f663c648c662f9/back.png
baseline84,cabinet,f607af751f597c1f78f663c648c662f9,right,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/f607af751f597c1f78f663c648c662f9/right.png
baseline84,cabinet,fd0a02a7d9f6ceba9af45e731c8231b1,front,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/fd0a02a7d9f6ceba9af45e731c8231b1/front.png
baseline84,cabinet,fd0a02a7d9f6ceba9af45e731c8231b1,left,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/fd0a02a7d9f6ceba9af45e731c8231b1/left.png
baseline84,cabinet,fd0a02a7d9f6ceba9af45e731c8231b1,back,blank,0.000965,13,28,0.001389,True,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/fd0a02a7d9f6ceba9af45e731c8231b1/back.png
baseline84,cabinet,fd0a02a7d9f6ceba9af45e731c8231b1,right,blank,0.000000,0,0,0.000000,False,docs/tmp/bbox-rerender-selected-validation/test0_render_views_bbox_selected/cabinet/fd0a02a7d9f6ceba9af45e731c8231b1/right.png
