category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,path
bottle,312e1f34a6fd0ea7762fed294b7d9d89,right,ok,0.096054,105,354,0.141792,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/312e1f34a6fd0ea7762fed294b7d9d89/right.png
bottle,314b19ea4876f0e0655e676e243972cf,front,ok,0.279503,426,198,0.321762,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/314b19ea4876f0e0655e676e243972cf/front.png
bottle,314b19ea4876f0e0655e676e243972cf,left,ok,0.276859,279,350,0.372505,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/314b19ea4876f0e0655e676e243972cf/left.png
bottle,314b19ea4876f0e0655e676e243972cf,back,ok,0.268494,411,192,0.301025,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/314b19ea4876f0e0655e676e243972cf/back.png
bottle,314b19ea4876f0e0655e676e243972cf,right,ok,0.204254,240,327,0.299377,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/314b19ea4876f0e0655e676e243972cf/right.png
bottle,314cceb346b19989f3aebacf8621612b,front,ok,0.269028,466,180,0.319977,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/314cceb346b19989f3aebacf8621612b/front.png
bottle,314cceb346b19989f3aebacf8621612b,left,ok,0.241730,232,346,0.306213,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/314cceb346b19989f3aebacf8621612b/left.png
bottle,314cceb346b19989f3aebacf8621612b,back,ok,0.269238,466,181,0.321754,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/314cceb346b19989f3aebacf8621612b/back.png
bottle,314cceb346b19989f3aebacf8621612b,right,ok,0.194447,186,353,0.250465,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/314cceb346b19989f3aebacf8621612b/right.png
bottle,3153d54f07dd4f15504e653769b39337,front,ok,0.186096,458,126,0.220139,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/3153d54f07dd4f15504e653769b39337/front.png
bottle,3153d54f07dd4f15504e653769b39337,left,ok,0.177361,188,338,0.242401,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/3153d54f07dd4f15504e653769b39337/left.png
bottle,3153d54f07dd4f15504e653769b39337,back,ok,0.186695,458,126,0.220139,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/3153d54f07dd4f15504e653769b39337/back.png
bottle,3153d54f07dd4f15504e653769b39337,right,ok,0.129536,138,340,0.178986,docs/tmp/bottle-blank-investigation/center_offset_rerender/bottle/3153d54f07dd4f15504e653769b39337/right.png
