category,uid,view,class,fg_ratio,bbox_width,bbox_height,bbox_area_ratio,path
book,0aaf3ca66b2ae3a61e28ec5b97a56d98,back,ok,0.278904,390,253,0.376396,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0aaf3ca66b2ae3a61e28ec5b97a56d98/back.png
book,0aaf3ca66b2ae3a61e28ec5b97a56d98,right,ok,0.079906,68,391,0.101425,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0aaf3ca66b2ae3a61e28ec5b97a56d98/right.png
book,0ac016ca1a36c618eaf99a6244556b26,front,ok,0.107243,80,457,0.139465,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0ac016ca1a36c618eaf99a6244556b26/front.png
book,0ac016ca1a36c618eaf99a6244556b26,left,ok,0.389912,379,332,0.479996,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0ac016ca1a36c618eaf99a6244556b26/left.png
book,0ac016ca1a36c618eaf99a6244556b26,back,ok,0.117092,88,457,0.153412,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0ac016ca1a36c618eaf99a6244556b26/back.png
book,0ac016ca1a36c618eaf99a6244556b26,right,ok,0.390034,380,332,0.481262,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0ac016ca1a36c618eaf99a6244556b26/right.png
book,0b404c2980944a996f0e0bdbf2b83bb2,front,ok,0.269463,512,160,0.312500,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0b404c2980944a996f0e0bdbf2b83bb2/front.png
book,0b404c2980944a996f0e0bdbf2b83bb2,left,ok,0.298309,350,295,0.393867,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0b404c2980944a996f0e0bdbf2b83bb2/left.png
book,0b404c2980944a996f0e0bdbf2b83bb2,back,ok,0.267467,512,159,0.310547,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0b404c2980944a996f0e0bdbf2b83bb2/back.png
book,0b404c2980944a996f0e0bdbf2b83bb2,right,ok,0.298065,350,295,0.393867,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0b404c2980944a996f0e0bdbf2b83bb2/right.png
book,0bb62cb57fcc5c7da342911db791269d,front,ok,0.075775,68,450,0.116730,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0bb62cb57fcc5c7da342911db791269d/front.png
book,0bb62cb57fcc5c7da342911db791269d,left,ok,0.380081,440,271,0.454865,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0bb62cb57fcc5c7da342911db791269d/left.png
book,0bb62cb57fcc5c7da342911db791269d,back,ok,0.080738,68,450,0.116730,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0bb62cb57fcc5c7da342911db791269d/back.png
book,0bb62cb57fcc5c7da342911db791269d,right,ok,0.381546,440,271,0.454865,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0bb62cb57fcc5c7da342911db791269d/right.png
book,0bf41307636565c89431502e8f5c8ea0,front,ok,0.292225,512,169,0.330078,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0bf41307636565c89431502e8f5c8ea0/front.png
book,0bf41307636565c89431502e8f5c8ea0,left,ok,0.311527,343,312,0.408234,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0bf41307636565c89431502e8f5c8ea0/left.png
book,0bf41307636565c89431502e8f5c8ea0,back,ok,0.289375,512,167,0.326172,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0bf41307636565c89431502e8f5c8ea0/back.png
book,0bf41307636565c89431502e8f5c8ea0,right,ok,0.311405,342,312,0.407043,docs/tmp/center-offset-dataset-evaluation/center_only_full_rerender/book/0bf41307636565c89431502e8f5c8ea0/right.png
